Phase,Category,Quantity,Card Name,Estimated Price (USD),Total Cost,Notes
"Phase 4c: Dimir Midrange","Creature",4,"Subtlety","$12","$48","Free interaction - 3+ top decks"
"Phase 4c: Dimir Midrange","Instant",4,"Counterspell","$3","$12","Already in Esper Blink"
"Phase 4c: Dimir Midrange","Instant",2,"Spell Snare","$2","$4","Already in Esper Blink"
"Phase 4c: Dimir Midrange","Sorcery",2,"Sink into Stupor","$1","$2","Removal / cycler"
"Phase 4c: Dimir Midrange","Fetchland",4,"Polluted Delta","$28","$112","Already in Esper Blink"
"Phase 4c: Dimir Midrange","Fetchland",4,"Bloodstained Mire","$22","$88","B/R fetch"
"Phase 4c: Dimir Midrange","Shockland",2,"Watery Grave","$12","$24","Already in Esper Blink"
"Phase 4c: Dimir Midrange","Shockland",2,"Blood Crypt","$12","$24","B/R shock"
"Phase 4d: Domain Zoo","Creature",4,"Ragavan, Nimble Pilferer","$45","$180","Format staple - 5+ top decks"
"Phase 4d: Domain Zoo","Creature",4,"Territorial Kavu","$3","$12","Domain payoff"
"Phase 4d: Domain Zoo","Creature",4,"Scion of Draco","$8","$32","Domain payoff"
"Phase 4d: Domain Zoo","Creature",2,"Quantum Riddler","$18","$36","Already in Esper Blink"
"Phase 4d: Domain Zoo","Sorcery",4,"Tribal Flames","$2","$8","Domain burn"
"Phase 4d: Domain Zoo","Enchantment",2,"Leyline of the Guildpact","$5","$10","Domain enabler"
"Phase 4d: Domain Zoo","Enchantment",2,"Leyline Binding","$8","$16","Removal"
"Phase 4d: Domain Zoo","Fetchland","12","5-Color Fetch Package","$25","$300","All 10 fetches (4 each of 3, 2 each of 2)"
"Phase 4d: Domain Zoo","Shockland","6","Triome / Shock Package","$15","$90","Triomes + shocks for 5C"
"Phase 4e: Azorius Blink","Creature",4,"Skyclave Apparition","$4","$16","Already in Esper Blink"
"Phase 4e: Azorius Blink","Creature",4,"Spirit of the Labyrinth","$3","$12","Hate piece"
"Phase 4e: Azorius Blink","Creature",3,"Restoration Angel","$4","$12","Blink target"
"Phase 4e: Azorius Blink","Creature",2,"Solitude","$15","$30","Already in Esper Blink"
"Phase 4e: Azorius Blink","Instant",4,"Ephemerate","$8","$32","Already in Esper Blink"
"Phase 4e: Azorius Blink","Instant",4,"Prismatic Ending","$3","$12","Already in Esper Blink"
"Phase 4e: Azorius Blink","Instant",4,"Path to Exile","$2","$8","Removal"
"Phase 4e: Azorius Blink","Planeswalker",2,"Teferi, Time Raveler","$25","$50","Already in Esper Blink"
"Phase 4e: Azorius Blink","Planeswalker",1,"The Wandering Emperor","$12","$12","Already in Esper Blink"
"Phase 4e: Azorius Blink","Fetchland",4,"Flooded Strand","$25","$100","Already in Esper Blink"
"Phase 4e: Azorius Blink","Fetchland",4,"Windswept Heath","$22","$88","W/G fetch"
"Phase 4e: Azorius Blink","Shockland",2,"Hallowed Fountain","$12","$24","Already in Esper Blink"
"Phase 4e: Azorius Blink","Shockland",2,"Temple Garden","$12","$24","W/G shock"
"Phase 4f: Jeskai Blink","Creature",4,"Ragavan, Nimble Pilferer","$45","$180","From Domain Zoo"
"Phase 4f: Jeskai Blink","Creature",4,"Ocelot Pride","$8","$32","Energy/Blink payoff"
"Phase 4f: Jeskai Blink","Creature",4,"Quantum Riddler","$18","$72","Already in Esper Blink"
"Phase 4f: Jeskai Blink","Creature",2,"Solitude","$15","$30","Already in Esper Blink"
"Phase 4f: Jeskai Blink","Instant",4,"Lightning Bolt","$2","$8","Burn/Removal"
"Phase 4f: Jeskai Blink","Instant",4,"Ephemerate","$8","$32","Already in Esper Blink"
"Phase 4f: Jeskai Blink","Instant",2,"Prismatic Ending","$3","$6","Already in Esper Blink"
"Phase 4f: Jeskai Blink","Planeswalker",2,"Teferi, Time Raveler","$25","$50","Already in Esper Blink"
"Phase 4f: Jeskai Blink","Fetchland",4,"Scalding Tarn","$28","$112","U/R fetch"
"Phase 4f: Jeskai Blink","Fetchland",4,"Arid Mesa","$22","$88","W/R fetch"
"Phase 4f: Jeskai Blink","Fetchland",4,"Flooded Strand","$25","$100","Already in Esper Blink"
"Phase 4f: Jeskai Blink","Shockland",2,"Steam Vents","$12","$24","U/R shock"
"Phase 4f: Jeskai Blink","Shockland",2,"Sacred Foundry","$12","$24","W/R shock"
"Phase 4f: Jeskai Blink","Shockland",2,"Hallowed Fountain","$12","$24","Already in Esper Blink"
